mode,group,rounded_tensors,fraction_bits,dropped_bits,total_weights,changed_weights,original_zeros,quantized_zeros,max_abs_delta_raw,sum_abs_delta_raw,saturations,mean_abs_delta_raw,candidate_sha256,sample_sha256,trace_sha256,matching_samples,first_sample_difference,trace_points,matching_trace_tokens,common_trace_points,matching_top1,max_abs_top1_value_delta_raw,first_logits_divergence,first_probs_divergence,first_output_token_divergence,first_top1_divergence
only,position_embedding,wpe,9,39,256,256,0,0,274855369923,34608767726968,0,135190498933.46875,e9f208b6ba30fc9aeb1fc7d1200359f51bd1fdd59d9515fcc849b0e89efc5348,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,52490afccc11c83f7588e80663acf495f03744ba93691cb1cb2d6d9b606c92b8,20,,122,122,122,122,1092942295837,0:0,0:0,,
only,language_head,lm_head,9,39,864,864,0,3,274814086296,121490890935751,0,140614457101.56366,2b98a01a2b7224852c4746bc96ca1c70545d05eabc3a31963504a0370e5c86ca,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,4237562646b861c29d4ed363e79d1dcb8ac579eb9ef2c6ff174f9e45b144828d,20,,122,122,122,121,1800046805012,0:0,0:0,,15:5
only,attention_qkv,"layers.0.attn_wk,layers.0.attn_wq,layers.0.attn_wv",9,39,3072,3072,0,13,274789299805,423965805581523,0,138009702337.73535,5ae42e84bb9a0e0404db6a70d2e48289ac136d3da0102f91776c69f3309e60f3,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,9807f29936752edb11759322cc7e98eadeaf3cb2c707e3a7b027f97ed2ff9e5e,20,,122,122,122,122,2190604688708,0:0,0:0,,
only,attention_output,layers.0.attn_wo,9,39,1024,1024,0,4,274653867894,141261420628087,0,137950606082.1162,52d8d0801414e08db1b029b2d0e0986e981cd61a0c9d15c0ce09aa4899bbc4ea,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,e5bef06d1d7c4188f29ea9c4a3e05630d0c27e0b535fc6babf4fa283f9c15a9f,20,,122,122,122,122,1421614532531,0:0,0:0,,
only,mlp_fc1,layers.0.mlp_fc1,9,39,4096,4096,0,21,274811198946,563725018237593,0,137628178280.66235,77973600cf14ec04fd4ccc7b498ce491cbd433d76f1df4917f0161c2192a9462,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,2e6f8c568dcb27b6d0003e2dbcc80f85fdd004fcf27e66111561c8ed506521f2,20,,122,122,122,122,5350825634236,0:0,0:0,,
only,mlp_fc2,layers.0.mlp_fc2,9,39,4096,4096,0,26,274869913999,569090729357361,0,138938166347.01196,a11de5c2ba5a90cdc864d8960a4ad851d8ce4b0b445b4829278e6a6752a1fe3a,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,ef183e93f557d835dd548f4ab4a5de3313f4cdb3023b2018fdf9547b2a207913,20,,122,122,122,122,631271866115,0:0,0:0,,
rescue,token_embedding,"layers.0.attn_wk,layers.0.attn_wo,layers.0.attn_wq,layers.0.attn_wv,layers.0.mlp_fc1,layers.0.mlp_fc2,lm_head,wpe",9,39,13408,13408,0,67,274869913999,1854142632467283,0,138286294187.5957,419ea629c3c65fa3defa68951fe65133375279467879d1d669aab890d50900c7,8475331d07b0c0315e8b7c48570ea470103da58ccf75f188822f05b54b876bc0,7123ee27865f697c1612d93c0e242c91c5391a1a37227a97904319fb862f9206,19,19:0,123,117,122,118,486503462229853,0:0,0:0,19:0,19:2
rescue,position_embedding,"layers.0.attn_wk,layers.0.attn_wo,layers.0.attn_wq,layers.0.attn_wv,layers.0.mlp_fc1,layers.0.mlp_fc2,lm_head,wte",9,39,14016,14016,0,69,274869913999,1939098733693952,0,138348939333.18723,7470707653313ca7329f7190d7bcaf0a4a6b99348ffb88cdbbfde09a329130ca,c9ca5906a61aa52a3430ba3f92c6f2b9b6348efa70ffa70408ea2c3e1bb7c138,3081df4137ccc8bf5113c312da4ab30a041083b873c99e81e6f31bc3e09741f5,15,15:2,119,96,118,107,1231177509453434,0:0,0:0,15:2,15:3
rescue,language_head,"layers.0.attn_wk,layers.0.attn_wo,layers.0.attn_wq,layers.0.attn_wv,layers.0.mlp_fc1,layers.0.mlp_fc2,wpe,wte",9,39,13408,13408,0,66,274869913999,1852216610485169,0,138142646963.39267,87c12a095047441432944f192280f8537aa6107a42fa654d55c1945ca6d44e03,a021d838f7b8da9ca78e090dd3c2a298df6f1ae8c9f715f903c9f9913d52ea3a,373917c84ecb50e26f52ae4f4b719fb5e763a9c2211bf4b42dc5aef08343f427,20,,122,122,122,122,7154877540639,0:0,0:0,,
rescue,attention_qkv,"layers.0.attn_wo,layers.0.mlp_fc1,layers.0.mlp_fc2,lm_head,wpe,wte",9,39,11200,11200,0,56,274869913999,1549741695839397,0,138369794271.37473,7465182d9e058ee4bfabd9aa5e6c75e54f8c36071731a1be60ae0f593d7e6613,d80d356bb04b9f4ec0fa026b3202a3803b02ce98caf06ef79767eb4d987001dd,30fdf3134052b9a13920b94738974a908cdac64a0085a3011a608040cee2a03b,1,1:0,125,29,115,56,1167562430375706,0:0,0:0,1:0,1:1
rescue,attention_output,"layers.0.attn_wk,layers.0.attn_wq,layers.0.attn_wv,layers.0.mlp_fc1,layers.0.mlp_fc2,lm_head,wpe,wte",9,39,13248,13248,0,65,274869913999,1832446080792833,0,138318695712.0194,56d1e9d3bfb6c0121ced77de8fe100471859d7700dc80044fbd401103aea9433,8475331d07b0c0315e8b7c48570ea470103da58ccf75f188822f05b54b876bc0,e5b96d5d1858120e005149298a60f39886d06efe2de0583a49e099071c8625ef,19,19:0,123,117,122,118,486039148924585,0:0,0:0,19:0,19:2
rescue,mlp_fc1,"layers.0.attn_wk,layers.0.attn_wo,layers.0.attn_wq,layers.0.attn_wv,layers.0.mlp_fc2,lm_head,wpe,wte",9,39,10176,10176,0,48,274869913999,1409982483183327,0,138559599369.43073,51b7b84aa27169a0b6cd9a6dfae3a1409f927cfff91cc76280b91d9912e9f4b1,8475331d07b0c0315e8b7c48570ea470103da58ccf75f188822f05b54b876bc0,6f7a72eb3dda0e7cef6d93f8c0fbd119b61457b92d607c3de562350959b8c7ea,19,19:0,123,117,122,117,490474379215158,0:0,0:0,19:0,15:5
rescue,mlp_fc2,"layers.0.attn_wk,layers.0.attn_wo,layers.0.attn_wq,layers.0.attn_wv,layers.0.mlp_fc1,lm_head,wpe,wte",9,39,10176,10176,0,43,274864509832,1404616772063559,0,138032308575.42838,dea8391465c37b5be333b4c5c8db149018d4adea734a9ff7b86644b032e7ad58,1bac839d60b7eb64f65856bae1908f04fbe2833747b54eed3ecfe7d9e54d8388,33c5643134ab56f30e456ab986130b0dbbe12625404029d8fc5f174f36ab7aac,19,15:2,122,118,122,119,772571724055727,0:0,0:0,15:2,15:3
