body_fraction_bits,head_fraction_bits,total_weights,changed_weights,fraction_bits,dropped_bits,original_zeros,quantized_zeros,max_abs_delta_raw,sum_abs_delta_raw,saturations,mean_abs_delta_raw,candidate_sha256,sample_sha256,trace_sha256,matching_samples,first_sample_difference,trace_points,matching_trace_tokens,common_trace_points,matching_top1,max_abs_top1_value_delta_raw,first_logits_divergence,first_probs_divergence,first_output_token_divergence,first_top1_divergence
7,16,864,864,16,32,0,0,2144910689,910303304825,0,1053591787.9918982,d5f2373148de4e7e731144ac7a3911974ed3c45aed182954114a89dd99a89859,8494a98f109b87941bd6e1850722da804b941f6c2605da36f263d1ccfe584b79,7c4c19bb8e8a762c999ee90137f449b13ba40275753aa89305cf74b4135bc2a2,18,2:0,122,115,122,116,1282531362600650,0:0,0:0,2:0,2:2
7,24,864,864,24,24,0,0,8384577,3632299571,0,4204050.429398148,52e3ae3dbf5744428010f05ec18c63a218f02104abc02f1544527af5e1277a6a,8494a98f109b87941bd6e1850722da804b941f6c2605da36f263d1ccfe584b79,df8a3c89378b09fb826074b6ad16523d4c949159503148402c3c724b647e9f8a,18,2:0,122,115,122,116,1282537841893335,0:0,0:0,2:0,2:2
7,48,864,0,48,0,0,0,0,0,0,0.0,61e563bbac789cb593d680e87cbba0b8a36b54a0b50249cb499535b49e75c2f3,8494a98f109b87941bd6e1850722da804b941f6c2605da36f263d1ccfe584b79,3402695f3a1b6efca0d69762f8fe3590b4a6b0a5981b3f148c365b1321a2bbac,18,2:0,122,115,122,116,1282537831336047,0:0,0:0,2:0,2:2
6,9,864,864,9,39,0,3,274814086296,121490890935751,0,140614457101.56366,39995bd0b9975ec7b0b11cb21abb73f97ad3369290cae7593ad17be3cfe2c45a,15833f2708bba3e2f887cd50c4d14d394f77add495c8b9f91f6a622213de5450,49266d565568e75cadd70ee488d076bc593c78a67e33b952df73acee40fcc215,1,1:0,125,25,115,53,1163884006593204,0:0,0:0,1:0,1:1
6,10,864,864,10,38,0,1,137344729467,60681388988209,0,70233089106.72337,33f2cdd51f99df696f17cf1425c52f5b81544323d9c5a8e3f1fb6f7f5051cfc2,15833f2708bba3e2f887cd50c4d14d394f77add495c8b9f91f6a622213de5450,63fe22cd9cf484c322fc5ec05cfcd4a47413c5ab1476f7e4e26c0438b6acb917,1,1:0,125,25,115,53,1164433819232703,0:0,0:0,1:0,1:1
6,11,864,864,11,37,0,1,68572470046,30652763421155,0,35477735441.15162,52fd14ae475080115b6031109e820cbc0cf47e77c5d3897eda6604d0528b7f3e,15833f2708bba3e2f887cd50c4d14d394f77add495c8b9f91f6a622213de5450,3197ba71bc3a5e56d8d4ff3f89820f800f3bdefc7fce5fafa41e0afc482ba77e,1,1:0,125,25,115,53,1164439817995473,0:0,0:0,1:0,1:1
6,12,864,864,12,36,0,0,34289462110,15095831130367,0,17472026771.258102,e24a647e1ac5f4ff9357a7147783a29a2fa4e11aa16b4a13ca38d0fa99ee4c62,15833f2708bba3e2f887cd50c4d14d394f77add495c8b9f91f6a622213de5450,48aa4b837f3414c9ac2dd4e19d0e33cd1b437db1087b7d53e1bf4d7e9bb38e9e,1,1:0,125,25,115,53,1164354619434372,0:0,0:0,1:0,1:1
6,13,864,864,13,35,0,0,17165221456,7681324896209,0,8890422333.575232,522d0ba582d612ac0f8cf131636ef59fb9494dac7330b252164835cbf795b9cd,15833f2708bba3e2f887cd50c4d14d394f77add495c8b9f91f6a622213de5450,ed70d71fcc4d27df112ec4376d373600ed5ac66c9d816fec2cc6b030a656a3c9,1,1:0,125,25,115,53,1164484846191510,0:0,0:0,1:0,1:1
6,14,864,864,14,34,0,0,8585862231,3689678461577,0,4270461182.380787,5b287248e24e8e2dc791a40d84ca2c3c050f045031ba520206da9587993a8e04,15833f2708bba3e2f887cd50c4d14d394f77add495c8b9f91f6a622213de5450,e86a9f3d364a72a0ab43ff54593d56f3a5ec64b5084d34030df5938be28ecdfc,1,1:0,125,25,115,53,1164398017113418,0:0,0:0,1:0,1:1
6,16,864,864,16,32,0,0,2144910689,910303304825,0,1053591787.9918982,81ee7812ac919c05352d90d670ae88b7478d0f70b17d5434699c9ce4db9c8ccf,15833f2708bba3e2f887cd50c4d14d394f77add495c8b9f91f6a622213de5450,4cf606bb8bba20de45afbccf06393b419378da9255b6ff54030e7136ef5d5eb5,1,1:0,125,25,115,53,1164405405767562,0:0,0:0,1:0,1:1
6,24,864,864,24,24,0,0,8384577,3632299571,0,4204050.429398148,549709a4033a5f26863bd06222f79f48ff4b44e959c50578cfa4de47afe98ed3,15833f2708bba3e2f887cd50c4d14d394f77add495c8b9f91f6a622213de5450,1c9f42bd9a5c025508f00747f1b780d4d6a5fd977bcea27fb55d91926ecab207,1,1:0,125,25,115,53,1164413599763621,0:0,0:0,1:0,1:1
6,48,864,0,48,0,0,0,0,0,0,0.0,50910fe2ba26ce7d60c514992db503943ad51b8ad5ea473951530c18de72f40b,15833f2708bba3e2f887cd50c4d14d394f77add495c8b9f91f6a622213de5450,ec46269f79534201576b13f5df4ea506164a0359090f481e591b912efc8be077,1,1:0,125,25,115,53,1164413647436179,0:0,0:0,1:0,1:1
